,"Blank cells indicate insufficient sample size for reliable estimation. Green highlights for 2024 vote shares indicate statistically significant change from 2020. Furthermore, we revised the weighting of the 2020 data and some estimates may be slightly different from those previously published. Refer to report methodology for more details.",,,,,,,,,,,,,,,,,,,,Composition of the electorate,,,,,Composition of the Democratic and Republican electorates,,,,,,,,,,Composition of all voters and nonvoters,,,,,,,,,,,,
,2024 Harris vote (official result 48%),2024 Trump vote (official result 50%),2024 margin (Harris-Trump),2022 Democratic House vote (official result 48%),2022 Republican House vote (official result 51%),2022 margin (Dem-Rep),2020 Biden vote (official result 51%),2020 Trump vote (official result 47%),2020 margin (Biden-Trump),2018 Democratic House vote (official result 53%),2018 Republican House vote (official result 44%),2018 margin (Dem-Rep),2016 Clinton vote (official result 48%),2016 Trump vote (official result 46%),2016 margin (Clinton-Trump),2024 Vote choice margin of error (+/- at 95% CI),2022 Vote choice margin of error (+/- at 95% CI),2020 Vote choice margin of error (+/- at 95% CI),2018 Vote choice margin of error (+/- at 95% CI),2016 Vote choice margin of error (+/- at 95% CI),Group as a share of all 2024 voters,Group as a share of all 2022 voters,Group as a share of all 2020 voters,Group as a share of all 2018 voters,Group as a share of all 2016 voters,Group as a share of 2024 Trump voters,Group as a share of 2024 Harris voters,Group as a share of 2022 Republican voters,Group as a share of 2022 Democratic voters,Group as a share of 2020 Trump voters,Group as a share of 2020 Biden voters,Group as a share of 2018 Republican voters,Group as a share of 2018 Democratic voters,Group as a share of 2016 Trump voters,Group as a share of 2016 Clinton voters,Group as a share of all 2024 voters,Group as a share of all 2024 nonvoters,Group as a share of all 2022 voters,Group as a share of all 2022 nonvoters,Group as a share of all 2020 voters,Group as a share of all 2020 nonvoters,Group as a share of all 2018 voters,Group as a share of all 2018 nonvoters,Group as a share of all 2016 voters,Group as a share of all 2016 nonvoters,,rep_20_24,dem_20_24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban,65,33,32,68,30,38,66,32,34,73,25,48,70,24,46,3.4,3.6,3.9,3.2,7.1,20,19,22,23,22,13,28,11,27,15,28,13,31,12,32,20,27,19,28,22,29,23,30,22,27,,0.409109767,0.403058196
Suburban,51,47,4,50,48,2,54,44,10,52,45,7,45,47,-2,1.9,2,2.1,2.1,4.4,52,55,52,53,50,49,56,53,57,49,55,54,51,53,48,52,46,55,43,52,44,53,43,50,42,,2.044729881,2.038753918
Rural,29,69,-40,29,69,-40,34,65,-31,38,59,-21,34,59,-25,3,3.1,3.2,3.3,7.1,26,26,26,24,27,36,16,36,16,36,17,33,17,35,19,26,26,26,28,26,28,24,27,27,30,,1.897941074,2.401542612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community type among White voters**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urban, White",61,38,23,63,35,28,59,39,20,64,34,30,59,37,22,4.2,4.5,4.8,3.9,8.2,15,15,16,19,17,10,21,9,23,12,22,13,27,12,26,15,21,15,18,16,22,19,24,17,19,,0.31534094,0.626396585
"Suburban, White",48,50,-2,43,55,-12,47,51,-4,47,51,-4,38,54,-16,2.2,2.2,2.3,2.3,4.9,53,55,53,53,52,49,59,53,59,49,58,53,54,52,50,53,47,55,45,53,44,53,43,52,43,,0.615498689,0.616252291
"Rural, White",27,71,-44,25,74,-49,28,71,-43,33,64,-31,30,62,-32,3.2,3.2,3.5,3.6,7.8,30,30,31,27,30,39,19,38,18,39,20,34,19,36,23,30,32,30,37,31,33,27,32,30,37,,0,0.467776315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community type by gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban men,60,37,23,63,35,28,61,37,24,68,30,38,-,-,-,5.2,5.7,6.2,4.8,10.9,10,9,11,11,9,8,13,7,13,9,13,8,14,6,12,10,13,9,13,11,14,11,14,9,14,,0,0.2487335
Suburban men,46,51,-5,46,52,-6,51,47,4,49,49,0,39,54,-15,2.9,3,3.3,3.1,6.1,26,28,25,26,25,27,25,28,26,25,25,29,24,30,20,26,21,28,19,25,19,26,20,25,19,,1.773142698,2.217313177
Rural men,23,76,-53,26,72,-46,28,69,-41,34,63,-29,-,-,-,4.7,5,5.2,5.1,10.5,12,13,12,11,11,19,6,18,7,17,6,16,7,17,7,12,10,13,12,12,11,11,10,11,17,,2.191769656,1.602825527
Urban women,70,29,41,74,25,49,71,28,43,79,20,59,75,20,55,4.3,4.2,4.6,4.2,9.4,10,9,11,12,13,6,14,4,14,6,15,5,17,6,20,10,13,9,14,11,14,12,16,13,13,,0.343202426,0.339709527
Suburban women,56,43,13,54,45,9,57,42,15,56,42,14,52,41,11,2.6,2.6,2.7,2.8,6.4,26,27,26,26,26,22,29,24,30,23,29,25,28,23,28,26,24,27,23,26,24,26,22,26,23,,0.531054752,0.529534557
Rural women,35,63,-28,31,67,-36,38,61,-23,42,55,-13,37,53,-16,3.8,3.9,4.1,4.4,9.6,14,14,14,13,16,17,10,18,9,19,11,16,10,18,12,14,16,14,16,14,17,13,17,16,13,,0.727670069,1.100470483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religious affiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protestant,36,62,-26,34,64,-30,40,59,-19,40,58,-18,39,56,-17,2.2,2.2,2.4,2.4,4.8,43,46,46,43,47,54,32,59,33,58,35,57,32,58,38,43,39,46,39,46,40,43,40,47,44,,1.835974233,2.465638436
Catholic,43,55,-12,43,56,-13,50,49,1,46,52,-6,44,52,-8,3.3,3.4,3.5,3.7,7.5,20,19,20,19,20,22,18,21,17,21,20,22,16,23,18,20,14,19,14,20,17,19,13,20,15,,2.45852322,2.874603995
Religiously unaffiliated,70,28,42,72,27,45,71,26,45,75,22,53,65,24,41,2.7,3,3.3,2.9,6.3,27,26,25,30,26,15,39,14,39,14,35,15,42,14,35,27,35,26,36,25,35,30,39,26,32,,1.022886045,0.497147439
Other faith,54,42,12,58,38,20,62,34,28,66,33,33,61,33,28,5,5.5,5.7,5.1,9.1,9,8,8,8,8,8,10,6,10,6,10,6,9,6,10,9,11,8,9,8,8,8,7,8,9,,2.144032439,2.106324834
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religious tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White evangelical Protestant,16,81,-65,12,86,-74,15,83,-68,17,81,-64,16,77,-61,3.3,3.4,3.8,3.8,7,18,19,19,18,20,29,6,33,5,34,6,33,6,34,7,18,11,19,14,19,15,18,15,20,13,,1.018863376,0.540021414
White nonevangelical Protestant,41,58,-17,39,59,-20,43,57,-14,42,55,-13,37,57,-20,3.9,3.7,3.9,4,8.3,13,15,14,14,15,15,11,17,12,17,12,18,11,19,11,13,9,15,9,14,10,14,10,15,10,,0.359990964,0.721240723
Black Protestant,83,15,68,92,6,86,91,9,82,94,5,89,-,-,-,5.8,5.8,6.6,6.4,-,7,6,8,7,7,2,12,1,12,2,14,1,12,0,14,7,9,6,9,8,8,7,9,7,9,,2.095903632,2.715558614
Other race Protestant,29,70,-41,32,66,-34,42,55,-13,47,50,-3,-,-,-,7,7.9,7.5,7.8,-,6,6,5,4,5,9,4,8,4,5,4,5,4,5,5,6,9,6,7,5,7,4,7,5,13,,2.99874087,2.621752415
White non-Hispanic Catholic,37,62,-25,37,62,-25,42,57,-15,39,59,-20,31,64,-33,3.8,3.6,3.7,4.1,8.1,14,14,14,14,14,18,11,18,11,18,12,19,10,20,9,14,6,14,7,14,8,14,7,14,6,,1.892437573,1.900405222
Hispanic Catholic,58,41,17,67,33,34,66,31,35,71,27,44,-,-,-,8.2,10,9.3,8.9,-,4,3,4,3,5,4,5,2,4,3,6,2,4,2,8,4,7,3,6,4,8,3,6,5,7,,1.667413513,1.314720079
Atheist,83,15,68,87,12,75,87,11,76,88,9,79,-,-,-,5.7,6,5.9,5.8,-,6,6,5,7,6,2,11,1,11,1,9,1,11,2,8,6,5,6,5,5,3,7,5,6,6,,1.425367778,1.341548273
Agnostic,79,18,61,78,20,58,84,14,70,79,18,61,-,-,-,5.4,6.3,6.8,5.6,-,6,6,5,7,6,2,10,2,10,2,9,3,10,3,9,6,5,6,6,5,6,7,6,6,4,,1.242880318,1.468261615
Nothing in particular,60,38,22,62,36,26,61,36,25,68,29,39,61,27,34,3.8,4.3,4.7,4,9,14,14,15,16,14,11,18,10,18,11,17,10,20,8,17,14,25,14,26,15,25,16,28,14,22,,0.667840119,0.329513244
Jewish,63,35,28,68,32,36,70,27,43,72,28,44,66,30,36,6.9,9.4,10.6,8.4,15.3,2,2,2,3,2,2,3,1,3,1,3,2,3,2,3,2,1,2,1,2,1,3,1,2,1,,1.368428502,1.167348265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Religious attendance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly or more often,34,64,-30,31,67,-36,40,59,-19,40,58,-18,37,58,-21,2.6,2.5,2.6,2.6,5.1,33,33,37,33,35,42,23,44,21,46,29,44,25,46,27,33,24,33,24,37,27,33,24,35,33,,2.753368834,3.331724656
A few times a year or less,56,43,13,56,42,14,58,40,18,61,37,24,54,38,16,1.8,1.9,2.1,1.9,4.1,67,66,63,66,65,58,77,55,78,54,71,56,75,54,73,67,75,66,75,63,73,66,76,65,67,,2.175323539,1.44238715
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education (four-way),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postgrad,65,33,32,61,37,24,67,32,35,68,30,38,66,29,37,2.7,2.6,2.4,2.7,5.5,17,19,18,19,14,11,23,14,25,12,23,13,24,9,19,17,8,19,10,18,6,19,7,14,6,,0.58603437,1.15859337
College grad,51,46,5,51,48,3,56,42,14,58,41,17,52,41,11,2.5,2.5,2.4,2.6,5.2,24,24,21,24,23,22,25,23,26,19,23,22,26,21,25,24,14,24,16,21,12,24,12,23,10,,2.235631252,2.782555504
Some college,45,54,-9,44,54,-10,49,50,-1,48,49,-1,42,49,-7,2.6,2.6,2.8,2.7,5.5,31,31,32,32,34,33,29,33,29,34,30,36,29,37,29,31,30,31,31,32,32,32,34,34,33,,2.037277052,2.03918477
HS or less,39,59,-20,39,59,-20,41,56,-15,47,51,-4,44,51,-7,3.4,4,4.1,4.1,7.4,28,25,28,25,30,33,23,29,20,34,23,29,21,34,28,28,48,25,43,28,50,25,48,30,51,,1.111350331,0.747498325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education (two-way),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College grad+,57,41,16,56,43,13,61,37,24,62,36,26,57,36,21,1.9,1.8,1.7,1.9,3.8,41,43,39,43,37,33,48,37,51,32,47,35,50,29,43,41,22,43,25,39,18,43,19,37,16,,3.181389204,3.155404164
Some college or less,42,56,-14,42,57,-15,45,53,-8,47,50,-3,43,50,-7,2.1,2.3,2.5,2.3,4.5,59,56,60,57,63,67,51,63,49,68,53,65,50,71,57,59,78,56,74,60,82,57,81,63,84,,1.820125603,1.827923393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race/ethnicity and education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White, college grad+",55,43,12,52,47,5,57,42,15,58,40,18,55,38,17,2.1,2,1.9,2.1,4.1,31,34,31,34,30,27,35,31,37,27,34,31,37,25,34,31,12,34,16,31,11,34,13,30,10,,0.697973348,1.390306481
"White, some college or less",35,64,-29,32,66,-34,33,65,-32,36,61,-25,28,64,-36,2.4,2.6,2.8,2.7,5.2,40,41,42,41,44,51,29,54,27,58,27,57,28,63,26,40,39,41,40,42,45,41,47,44,41,,0.553170256,1.118323593
"Black, college grad+",82,16,66,92,6,86,92,8,84,90,7,83,-,-,-,7.6,6.8,6.4,7.8,-,3,3,3,3,2,1,6,0,6,1,5,0,5,0,4,3,2,3,3,3,2,3,2,2,1,,2.395336264,2.893957285
"Black, some college or less",83,14,69,94,5,89,92,7,85,93,5,88,-,-,-,6.5,7.1,7.5,7.2,-,6,6,8,6,8,2,11,1,11,1,14,1,11,1,16,6,14,6,13,8,13,6,13,8,13,,2.315156061,2.770146434
"Hispanic, college grad+",56,42,14,63,35,28,69,29,40,74,21,53,-,-,-,7.5,7.6,6,7.6,-,3,3,3,2,2,2,3,2,3,2,3,1,3,1,3,3,3,3,3,3,2,2,2,2,2,,2.763547834,2.734834991
"Hispanic, some college or less",49,50,-1,59,40,19,58,39,19,71,27,44,-,-,-,6.8,9,7.9,7.5,-,8,6,7,6,8,8,8,5,7,6,8,4,8,5,10,8,17,6,15,7,17,6,15,8,18,,2.106631315,1.712207224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veteran (self),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes, self (veteran)",35,63,-28,34,65,-31,39,60,-21,38,59,-21,35,61,-26,4.5,4.6,4.6,4.4,8.4,11,12,11,14,14,13,8,16,9,15,9,18,10,19,10,11,8,12,9,11,8,14,8,14,10,,0.940930379,1.264819527
Not self,50,48,2,50,49,1,53,45,8,56,41,15,50,43,7,1.5,1.6,1.7,1.7,3.5,89,88,88,86,85,86,92,84,91,85,91,81,90,80,90,89,91,88,90,88,91,86,92,85,90,,2.526358334,2.520917939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veteran (self or household),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes, self or someone else in HH (veteran) ",40,58,-18,38,61,-23,43,55,-12,42,55,-13,35,61,-26,3,3.1,3.2,3.1,6,24,25,27,29,28,28,20,30,20,32,23,37,23,38,20,24,22,25,22,27,21,29,22,28,21,,1.36687493,1.375200833
"No, nobody in household",51,47,4,51,47,4,55,43,12,59,39,20,53,39,14,1.7,1.8,1.9,1.8,3.8,76,74,72,70,72,72,80,69,80,67,77,63,77,62,80,76,78,74,78,72,78,70,78,72,78,,3.100868342,3.09022478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender and education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Men, college grad+",50,47,3,50,48,2,58,40,18,57,41,16,49,42,7,2.8,2.7,2.5,2.7,5.5,19,20,18,20,16,18,19,19,21,15,20,18,21,15,17,19,10,20,12,18,9,20,8,16,8,,3.639025613,4.141250806
"Men, some college or less",39,59,-20,40,58,-18,41,56,-15,45,53,-8,36,58,-22,3.2,3.5,3.9,3.5,6.6,30,30,30,29,29,36,24,34,25,36,24,35,24,38,22,30,35,30,33,30,35,29,36,29,43,,1.19308221,0.802471481
"Women, college grad+",63,35,28,60,39,21,63,35,28,66,32,34,64,32,32,2.5,2.5,2.3,2.6,5.3,22,23,21,23,20,16,28,18,29,16,26,17,29,14,27,22,12,23,13,21,9,23,11,20,8,,0,0
"Women, some college or less",45,54,-9,43,56,-13,49,50,-1,50,47,3,48,43,5,2.8,2.9,3.1,3.1,6.3,28,26,30,28,34,30,26,29,23,32,28,30,26,33,35,28,42,26,40,30,45,28,44,34,41,,1.89560076,1.897357242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender and education among White voters**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White men, college grad+",48,49,-1,46,52,-6,54,44,10,54,44,10,47,44,3,3.2,3,2.8,2.9,5.9,20,21,19,21,17,18,22,19,23,15,24,18,25,14,21,20,11,21,13,19,9,21,9,17,10,,2.313547663,2.772355131
"White men, some college or less",33,66,-33,32,66,-34,31,66,-35,34,63,-29,23,73,-50,3.6,3.8,4.3,4,7.5,29,29,29,28,28,35,22,33,22,35,21,35,21,38,16,29,33,29,31,29,34,28,34,28,38,,0,0.744373477
"White women, college grad+",59,39,20,57,42,15,59,40,19,62,37,25,61,35,26,2.8,2.8,2.7,2.9,5.7,23,24,23,24,23,16,31,18,33,17,31,17,33,15,36,23,12,24,14,23,10,24,12,23,10,,0.522657695,0
"White women, some college or less",37,62,-25,31,68,-37,35,64,-29,38,59,-21,33,56,-23,3.2,3.3,3.5,3.7,7.3,27,25,28,26,32,30,23,30,19,33,23,30,22,33,27,27,43,25,40,28,45,26,44,32,42,,0.854410415,0.85943733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race/ethnicity and two-way age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White, 18-49",49,48,1,51,47,4,48,48,0,55,42,13,45,43,2,2.9,3.3,3.3,2.8,5.5,30,24,29,27,30,29,30,23,26,30,27,26,28,29,28,30,31,24,32,29,34,27,37,30,33,,0,0.441104667
"White, 50+",40,59,-19,36,62,-26,39,60,-21,41,57,-16,35,60,-25,1.9,1.9,2,2.2,4.6,41,50,44,48,44,49,34,62,38,56,34,62,37,60,32,41,20,50,23,44,21,48,23,44,18,,0.716945439,0.719951082
"Black, 18-49",76,21,55,92,7,85,88,12,76,90,7,83,-,-,-,7.9,8.9,9.1,7.8,-,4,3,5,4,5,2,7,0,6,1,8,1,7,1,10,4,11,3,10,5,9,4,9,5,7,,2.017669115,2.620499035
"Black, 50+",89,10,79,94,4,90,95,4,91,95,4,91,-,-,-,6.3,6.4,7.3,7.8,-,5,5,6,5,5,1,9,0,11,0,11,1,9,0,10,5,5,5,5,6,5,5,5,5,8,,2.465447515,2.307126266
"Hispanic, 18-49",53,45,8,65,33,32,60,36,24,77,21,56,-,-,-,7.4,9.8,7.9,7.2,-,6,5,6,5,5,5,6,3,7,5,7,2,8,3,7,6,15,5,14,6,15,5,12,5,17,,1.666978394,1.280929425
"Hispanic, 50+",48,51,-3,53,45,8,63,37,26,63,33,30,-,-,-,7.7,8.8,9,9.6,-,5,4,3,3,5,5,5,3,4,3,4,2,3,3,6,5,5,4,5,3,5,3,5,5,3,,2.365052627,2.534651667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender and two-way age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Men, 18-49",48,49,-1,55,43,12,53,43,10,59,38,21,43,46,-3,3.7,4.4,4.4,3.7,7.1,22,19,22,20,21,22,22,16,21,20,22,18,22,22,19,22,29,19,28,22,29,20,29,21,34,,2.049161642,1.70008795
"Men, 50+",39,59,-20,38,61,-23,43,56,-13,43,55,-12,40,58,-18,2.7,2.7,3,3,6.1,26,31,26,28,24,31,22,37,24,31,22,35,23,31,20,26,16,31,16,26,15,28,15,24,17,,1.476109695,1.978185566
"Women, 18-49",56,42,14,58,41,17,60,38,22,67,31,36,63,27,36,3.2,3.6,3.5,3.1,6.5,21,16,22,20,23,17,24,13,20,18,25,14,25,14,30,21,36,16,34,22,36,20,36,23,33,,1.69706917,1.684194367
"Women, 50+",50,49,1,48,51,-3,51,49,2,52,46,6,48,47,1,2.3,2.3,2.4,2.8,6,29,33,29,31,32,29,30,33,33,30,29,33,30,34,32,29,18,33,19,29,18,31,19,32,17,,0,0.581028285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender and four-way age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Men, 18-29",51,46,5,67,31,36,53,39,14,70,25,45,-,-,-,8,11.5,9.4,7.9,-,7,5,7,6,6,7,8,3,7,6,7,3,7,5,6,7,13,5,12,7,10,6,14,6,17,,1.131051702,0.318526152
"Women, 18-29",63,34,29,66,33,33,67,32,35,74,21,53,-,-,-,6.8,9,7.9,6.5,-,7,4,7,5,8,5,9,3,6,5,9,3,7,3,10,7,16,4,14,7,14,5,16,8,16,,0.401948746,0.793704844
"Men, 30-49",46,51,-5,50,47,3,53,44,9,55,43,12,41,49,-8,4,4.4,4.7,4.1,7.9,15,14,14,15,16,15,14,13,15,14,15,14,15,17,13,15,16,14,16,14,20,15,15,16,17,,2.253382719,2.249128588
"Women, 30-49",53,45,8,55,44,11,56,42,14,64,34,30,62,31,31,3.4,3.7,3.6,3.5,7.7,14,12,15,15,15,13,16,10,14,13,16,11,17,10,19,14,20,12,20,15,22,15,20,15,17,,1.196080117,1.190698277
"Men, 50-64",38,60,-22,40,58,-18,42,57,-15,43,55,-12,41,57,-16,3.9,4,4.5,4.4,8.7,14,16,13,13,12,17,11,18,13,16,11,17,11,15,10,14,9,16,10,13,10,13,12,12,12,,1.006402965,1.34947519
"Women, 50-64",46,53,-7,47,52,-5,50,49,1,55,43,12,48,47,1,3.5,3.3,3.5,3.6,8.3,13,14,14,15,17,14,12,15,14,15,14,15,16,17,16,13,10,14,12,14,12,15,13,17,12,,1.601135331,1.60210531
"Men, 65+",40,58,-18,35,63,-28,43,56,-13,43,55,-12,38,59,-21,3.6,3.6,4,4.2,8.6,12,15,12,15,12,14,10,19,11,15,10,19,12,16,10,12,7,15,6,12,5,15,4,12,4,,0.734579313,1.107135916
"Women, 65+",54,46,8,48,51,-3,51,48,3,49,50,-1,48,48,0,3.2,3.1,3.4,4.2,8.7,16,18,15,16,15,15,18,19,19,16,15,18,14,16,15,16,8,18,7,15,6,16,6,15,5,,0.843141713,1.264301122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decade of birth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930s and earlier,44,54,-10,35,64,-29,44,56,-12,41,59,-18,40,58,-18,9.9,8.3,7.7,7.8,12.7,2,3,3,4,7,2,1,3,2,3,2,6,3,9,6,2,1,3,0,3,1,4,2,7,1,,0.314522278,0
1940s,45,55,-10,41,59,-18,48,52,-4,46,53,-7,44,52,-8,4.3,3.7,3.7,4,7.8,10,13,12,16,17,11,9,15,11,14,12,20,14,20,16,10,4,13,5,12,5,16,4,17,6,,1.042087055,1.042087055
1950s,50,49,1,43,55,-12,48,51,-3,50,47,3,47,51,-4,3,2.9,3.2,3.3,7.2,17,23,20,22,19,17,18,25,21,22,19,24,21,21,18,17,10,23,12,20,11,22,14,19,13,,0.897218485,0.897429438
1960s,43,56,-13,44,54,-10,46,53,-7,48,51,-3,46,48,-2,3.1,3.2,3.5,3.6,7.9,20,21,19,19,17,23,18,22,19,21,17,21,17,18,16,20,14,21,14,19,15,19,16,17,17,,1.26101141,1.263461213
1970s,48,50,-2,47,51,-4,52,46,6,58,41,17,50,41,9,3.4,3.8,3.8,3.9,7.4,15,15,15,15,16,15,14,15,14,14,15,14,16,14,16,15,13,15,15,15,19,15,15,16,15,,1.543921021,1.542359082
1980s,47,50,-3,54,44,10,55,42,13,63,32,31,52,36,16,3.7,4.3,4.3,3.9,8,15,14,15,14,16,15,15,12,15,14,17,10,17,13,17,15,18,14,20,15,21,14,22,16,20,,2.804958197,2.794529719
1990s/2000s,55,42,13,66,32,34,61,35,26,72,24,48,62,25,37,4,5.9,5.7,5.4,12.4,21,12,16,10,8,18,24,8,17,12,19,5,13,5,11,21,40,12,33,16,28,10,27,8,27,,2.030836618,1.710764996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union membership (self),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes, union",56,43,13,57,41,16,56,43,13,57,41,16,56,38,18,4.3,4.3,5.2,4.8,9,11,11,9,11,11,10,13,9,13,8,10,10,12,9,12,11,9,11,9,9,7,11,6,11,6,,0,0
"No, not union",47,51,-4,46,52,-6,51,47,4,53,44,9,47,46,1,1.6,1.6,1.7,1.6,3.4,88,89,90,89,89,90,87,91,87,91,89,89,88,91,88,88,91,89,90,90,93,89,94,89,94,,3.386233,3.385695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode of voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In person, Election Day",41,57,-16,38,60,-22,33,65,-32,-,-,-,-,-,-,2.7,2.8,3.4,,,34,43,27,,,38,29,51,34,38,17,,,,,34,13,43,11,27,8,,,,,,3.76458791,3.806711996
"In person, early",42,56,-14,46,53,-7,47,52,-5,-,-,-,-,-,-,2.5,4,3.3,,,32,21,27,,,36,28,22,20,30,24,,,,,32,8,21,5,27,7,,,,,,1.906692857,2.389790448
Absentee or mail-in ballot,61,37,24,60,38,22,66,33,33,-,-,-,-,-,-,2.4,3.1,2.2,,,34,36,45,,,25,43,27,45,32,58,,,,,34,11,36,7,45,11,,,,,,2.490751258,3.085680833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family income tiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper income,52,47,5,48,51,-3,55,44,11,-,-,-,-,-,-,2.6,3.2,2.6,,,22,25,24,,,21,23,25,25,23,26,,,,,22,10,25,11,24,8,,,,,,1.61085058,1.608283276
Middle income,47,51,-4,45,53,-8,47,51,-4,-,-,-,-,-,-,2,2.5,2.3,,,50,53,50,,,51,49,55,50,55,46,,,,,50,38,53,41,50,38,,,,,,0,0
Lower income,49,48,1,56,42,14,58,39,19,-,-,-,-,-,-,3.6,3.9,4.3,,,23,16,21,,,22,23,13,19,18,24,,,,,23,46,16,40,21,50,,,,,,3.192259911,3.169397133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual orientation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight,45,53,-8,45,54,-9,49,49,0,-,-,-,-,-,-,1.5,1.9,1.7,,,90,91,92,,,96,84,97,86,97,88,,,,,90,88,91,84,92,89,,,,,,3.446863218,3.451788484
"Gay, lesbian or bisexual",84,15,69,82,17,65,84,15,69,-,-,-,-,-,-,5.8,7.1,6.7,,,7,6,5,,,2,12,2,11,2,9,,,,,7,8,6,8,5,7,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender and sexual orientation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight men,40,57,-17,41,57,-16,45,52,-7,-,-,-,-,-,-,2.3,2.9,2.7,,,45,46,44,,,52,38,52,39,49,39,,,,,45,40,46,38,44,40,,,,,,2.769452917,2.788455159
Straight women,49,49,0,48,50,-2,53,46,7,-,-,-,-,-,-,2,2.4,2.1,,,45,45,48,,,45,46,45,46,47,49,,,,,45,47,45,46,48,49,,,,,,2.036593796,2.713439417
Gay/bisexual men,82,17,65,81,19,62,85,15,70,-,-,-,-,-,-,9.6,11.8,9.5,,,3,3,3,,,1,5,1,5,1,4,,,,,3,3,3,3,3,3,,,,,,0.39630065,0.587301416
